Rotational_Speed,Mass_flow,Pressure_ratio,Polytropic_efficiency
70000,0.37160000,2.69059000
70000,0.37580000,2.68004000
70000,0.37990000,2.66731000
70000,0.38410000,2.65117000
70000,0.38830000,2.63001000
70000,0.39250000,2.60187000
70000,0.39660000,2.56424000
70000,0.40080000,2.51380000
70000,0.40500000,2.44570000
70000,0.40910000,2.35235000
80000,0.43610000,3.56109000
80000,0.43950000,3.55681000
80000,0.44290000,3.55226000
80000,0.44640000,3.54744000
80000,0.44980000,3.54236000
80000,0.45320000,3.53696000
80000,0.45660000,3.53121000
80000,0.46010000,3.52512000
80000,0.46350000,3.51873000
80000,0.46690000,3.51202000
80000,0.47030000,3.50501000
80000,0.47370000,3.49770000
80000,0.47720000,3.49014000
80000,0.48060000,3.48182000
80000,0.48400000,3.47267000
80000,0.48740000,3.46321000
80000,0.49090000,3.45376000
80000,0.49430000,3.44345000
80000,0.49770000,3.43110000
80000,0.50110000,3.41497000
80000,0.50460000,3.39280000
80000,0.50800000,3.36173000
80000,0.51140000,3.31787000
80000,0.51480000,3.25556000
80000,0.51820000,3.16582000
90000,0.56490000,4.58151000
90000,0.56760000,4.57607000
90000,0.57020000,4.57044000
90000,0.57290000,4.56460000
90000,0.57560000,4.55857000
90000,0.57830000,4.55234000
90000,0.58090000,4.54591000
90000,0.58360000,4.53928000
90000,0.58630000,4.53243000
90000,0.58900000,4.52537000
90000,0.59160000,4.51803000
90000,0.59430000,4.51043000
90000,0.59700000,4.50253000
90000,0.59970000,4.49457000
90000,0.60230000,4.48655000
90000,0.60500000,4.47804000
90000,0.60770000,4.46831000
90000,0.61030000,4.45645000
90000,0.61300000,4.44106000
90000,0.61570000,4.42030000
90000,0.61840000,4.39180000
90000,0.62100000,4.35247000
90000,0.62370000,4.29805000
90000,0.62640000,4.22222000
90000,0.62910000,4.11468000
