,Rotational_Speed,Mass_flow,Pressure_ratio,Polytropic_efficiency
159,70000,0.3466,2.74141,0.81361
160,70000,0.3507,2.73405,0.81425
161,70000,0.3549,2.72613,0.81473
162,70000,0.3591,2.71734,0.81494
163,70000,0.3633,2.7085,0.81511
164,70000,0.3674,2.6998,0.81522
165,70000,0.3716,2.69059,0.81512
166,70000,0.3758,2.68004,0.81461
167,70000,0.3799,2.66731,0.81339
168,70000,0.3841,2.65117,0.81106
169,70000,0.3883,2.63001,0.8071
170,70000,0.3925,2.60187,0.8008
171,70000,0.3966,2.56424,0.79125
172,70000,0.4008,2.5138,0.77716
173,70000,0.405,2.4457,0.75655
174,70000,0.4091,2.35235,0.72606
175,80000,0.4361,3.56109,0.82119
176,80000,0.4395,3.55681,0.82207
177,80000,0.4429,3.55226,0.82289
178,80000,0.4464,3.54744,0.82367
179,80000,0.4498,3.54236,0.8244
180,80000,0.4532,3.53696,0.82508
181,80000,0.4566,3.53121,0.82568
182,80000,0.4601,3.52512,0.82622
183,80000,0.4635,3.51873,0.82671
184,80000,0.4669,3.51202,0.82713
185,80000,0.4703,3.50501,0.8275
186,80000,0.4737,3.4977,0.82781
187,80000,0.4772,3.49014,0.82806
188,80000,0.4806,3.48182,0.82819
189,80000,0.484,3.47267,0.8282
190,80000,0.4874,3.46321,0.82816
191,80000,0.4909,3.45376,0.8281
192,80000,0.4943,3.44345,0.82786
193,80000,0.4977,3.4311,0.8272
194,80000,0.5011,3.41497,0.82577
195,80000,0.5046,3.3928,0.82312
196,80000,0.508,3.36173,0.81863
197,80000,0.5114,3.31787,0.81146
198,80000,0.5148,3.25556,0.8003
199,80000,0.5182,3.16582,0.78298
200,90000,0.5649,4.58151,0.82776
201,90000,0.5676,4.57607,0.82811
202,90000,0.5702,4.57044,0.82843
203,90000,0.5729,4.5646,0.82873
204,90000,0.5756,4.55857,0.829
205,90000,0.5783,4.55234,0.82925
206,90000,0.5809,4.54591,0.82947
207,90000,0.5836,4.53928,0.82967
208,90000,0.5863,4.53243,0.82984
209,90000,0.589,4.52537,0.82998
210,90000,0.5916,4.51803,0.83009
211,90000,0.5943,4.51043,0.83016
212,90000,0.597,4.50253,0.8302
213,90000,0.5997,4.49457,0.83022
214,90000,0.6023,4.48655,0.83022
215,90000,0.605,4.47804,0.83016
216,90000,0.6077,4.46831,0.82995
217,90000,0.6103,4.45645,0.82947
218,90000,0.613,4.44106,0.82854
219,90000,0.6157,4.4203,0.82692
220,90000,0.6184,4.3918,0.82431
221,90000,0.621,4.35247,0.82028
222,90000,0.6237,4.29805,0.81424
223,90000,0.6264,4.22222,0.80527
224,90000,0.6291,4.11468,0.7918
